                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3466,                 1.0011,                 1.0691,                0.70764,                0.60299,                0.66332,                0.37243,                 1.6161,                 1.2482,                 1.1884,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.3725,                 1.0224,                 1.0674,                0.68194,                0.57131,                0.63172,                 0.3503,                 1.6324,                 1.2916,                 1.2015,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.3306,                 1.0041,                 1.0658,                0.77615,                0.58207,                0.65372,                0.36901,                 1.5932,                 1.2052,                 1.1962,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.3246,                0.97927,                 1.0682,                 0.6949,                0.61044,                0.66876,                0.37627,                 1.6003,                 1.1792,                 1.1815,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.3376,                0.97855,                 1.0638,                0.70801,                0.53735,                0.60876,                 0.3318,                 1.6248,                  1.297,                 1.2076,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.3606,                0.99914,                 1.0561,                0.64983,                0.59594,                0.62749,                0.34407,                 1.6246,                 1.2895,                 1.1886,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.2997,                0.96594,                 1.0487,                0.69878,                0.61894,                0.67188,                0.37734,                 1.6345,                 1.1988,                 1.1991,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.3326,                0.95933,                 1.0481,                 0.7473,                0.64287,                0.69112,                0.39571,                 1.5879,                 1.1725,                 1.1849,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.2826,                0.96135,                 1.0383,                0.83879,                0.55384,                0.67538,                0.39985,                 1.5662,                 1.1617,                 1.1717,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.2898,                 0.9582,                 1.0477,                0.71534,                0.62068,                0.67554,                0.39578,                 1.5833,                 1.2081,                 1.1707,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.2626,                0.95177,                 1.0414,                0.68999,                0.61353,                0.67873,                0.38468,                 1.5959,                 1.2542,                 1.1821,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.3059,                0.95729,                 1.0549,                0.77476,                0.57127,                0.66421,                0.37094,                 1.5992,                 1.3008,                  1.174,             0.00052204,             0.00052204,             0.00052204
